product_id,product_name,category,brand,unit_cost,list_price,uom,status,created_at
PROD00001,4K TV v2,Electronics,CorePower,476.14,1015.09,EA,ACTIVE,2025-02-20 00:13:00
PROD00002,Bluetooth Speaker v5,Electronics,DailyFresh,894.54,1091.86,EA,ACTIVE,2024-09-18 11:23:00
PROD00003,Laptop v2,Electronics,TrailMax,764.48,1712.53,PK,ACTIVE,2025-10-20 17:59:00
PROD00004,Tablet v2,Electronics,Voltix,822.01,1225.61,BOX,ACTIVE,2024-10-18 22:45:00
PROD00005,Noise-Cancel Headphones v4,Electronics,TrailMax,132.2,274.94,EA,ACTIVE,2025-07-24 18:04:00
PROD00006,Smart Watch v2,Electronics,Voltix,431.24,824.84,EA,ACTIVE,2024-10-30 02:15:00
PROD00007,Gaming Console v4,Electronics,HomePro,73.05,137.55,EA,DISCONTINUED,2025-09-03 04:47:00
PROD00008,Wireless Router v4,Electronics,DailyFresh,476.6,1114.54,BOX,ACTIVE,2025-04-03 20:44:00
PROD00009,Cordless Drill v1,Home & Garden,CorePower,15.84,21.12,EA,ACTIVE,2025-05-03 05:00:00
PROD00010,Garden Hose v4,Home & Garden,UrbanFit,359.17,613.59,BOX,ACTIVE,2025-12-02 18:32:00
PROD00011,LED Floor Lamp v2,Home & Garden,TrailMax,278.21,409.74,EA,DISCONTINUED,2026-01-01 04:47:00
PROD00012,Air Fryer v2,Home & Garden,DailyFresh,193.83,376.58,EA,ACTIVE,2025-10-11 22:29:00
PROD00013,Robot Vacuum v4,Home & Garden,DailyFresh,431.76,856.28,EA,ACTIVE,2025-10-04 11:41:00
PROD00014,Outdoor Heater v1,Home & Garden,Voltix,384.1,585.33,PK,ACTIVE,2024-09-02 07:18:00
PROD00015,Tool Set v2,Home & Garden,UrbanFit,149.83,198.94,EA,ACTIVE,2024-11-23 17:12:00
PROD00016,Pressure Washer v3,Home & Garden,Voltix,576.0,713.57,BOX,ACTIVE,2025-06-03 15:02:00
PROD00017,Olive Oil 1L v3,Grocery,Voltix,47.05,61.72,PK,ACTIVE,2025-12-22 12:32:00
PROD00018,Coffee Beans 500g v3,Grocery,HomePro,178.62,375.5,BOX,ACTIVE,2025-02-04 13:57:00
PROD00019,Protein Bars 12pk v2,Grocery,Voltix,668.34,883.01,BOX,DISCONTINUED,2025-04-20 18:55:00
PROD00020,Basmati Rice 5kg v2,Grocery,CorePower,767.42,1188.08,PK,ACTIVE,2025-11-15 20:05:00
PROD00021,Almond Milk 1L v2,Grocery,CorePower,857.73,1267.63,BOX,ACTIVE,2025-09-16 22:10:00
PROD00022,Dark Chocolate 200g v5,Grocery,CorePower,894.1,1611.12,BOX,ACTIVE,2025-04-05 04:21:00
PROD00023,Running Shoes v4,Apparel,Voltix,264.59,515.46,BOX,DISCONTINUED,2024-12-19 06:39:00
PROD00024,Rain Jacket v5,Apparel,CorePower,547.76,1287.03,PK,ACTIVE,2025-10-05 00:09:00
PROD00025,Merino Jumper v1,Apparel,DailyFresh,690.62,1085.28,EA,DISCONTINUED,2025-01-26 05:59:00
PROD00026,Denim Jeans v5,Apparel,TrailMax,268.86,344.62,PK,ACTIVE,2024-09-24 05:45:00
PROD00027,Hi-Vis Vest v4,Apparel,TrailMax,695.66,1050.12,PK,ACTIVE,2025-12-13 03:36:00
PROD00028,Work Boots v3,Apparel,DailyFresh,441.48,722.33,PK,ACTIVE,2025-04-01 11:32:00
PROD00029,Yoga Mat v3,Sports,Voltix,760.97,1782.54,BOX,DISCONTINUED,2025-05-05 14:16:00
PROD00030,Dumbbell Set 20kg v1,Sports,UrbanFit,790.16,1888.09,BOX,ACTIVE,2025-09-02 07:44:00
PROD00031,Camping Tent 4P v1,Sports,TrailMax,739.83,894.85,PK,ACTIVE,2025-06-06 12:54:00
PROD00032,Mountain Bike Helmet v4,Sports,CorePower,69.39,115.59,EA,ACTIVE,2025-04-14 14:41:00
PROD00033,Esky 40L v1,Sports,Voltix,483.46,1054.88,EA,ACTIVE,2025-12-01 12:49:00
PROD00034,4K TV v1,Electronics,TrailMax,392.07,659.39,PK,DISCONTINUED,2024-12-05 22:47:00
PROD00035,Bluetooth Speaker v1,Electronics,UrbanFit,430.69,660.7,EA,DISCONTINUED,2024-11-01 20:13:00
PROD00036,Laptop v5,Electronics,DailyFresh,290.89,360.0,EA,ACTIVE,2025-09-27 13:30:00
PROD00037,Tablet v1,Electronics,CorePower,195.23,283.82,PK,ACTIVE,2024-12-26 20:11:00
PROD00038,Noise-Cancel Headphones v4,Electronics,Voltix,78.9,101.24,PK,DISCONTINUED,2025-11-08 13:33:00
PROD00039,Smart Watch v2,Electronics,Voltix,195.84,444.89,EA,DISCONTINUED,2025-02-10 09:10:00
PROD00040,Gaming Console v4,Electronics,DailyFresh,181.95,424.0,BOX,ACTIVE,2025-12-26 22:27:00
PROD00041,Wireless Router v4,Electronics,Voltix,321.8,653.73,BOX,ACTIVE,2024-09-27 23:42:00
PROD00042,Cordless Drill v3,Home & Garden,Voltix,522.33,717.44,EA,DISCONTINUED,2025-12-10 04:31:00
PROD00043,Garden Hose v4,Home & Garden,TrailMax,778.41,1040.21,BOX,ACTIVE,2025-04-06 04:40:00
PROD00044,LED Floor Lamp v1,Home & Garden,Voltix,406.6,960.94,EA,ACTIVE,2025-03-22 22:34:00
PROD00045,Air Fryer v2,Home & Garden,TrailMax,697.85,1340.66,EA,ACTIVE,2025-12-29 21:36:00
PROD00046,Robot Vacuum v3,Home & Garden,Voltix,859.77,1413.73,PK,ACTIVE,2025-05-03 03:44:00
PROD00047,Outdoor Heater v4,Home & Garden,DailyFresh,451.22,1082.41,PK,ACTIVE,2025-10-17 17:27:00
PROD00048,Tool Set v1,Home & Garden,HomePro,472.76,1001.35,PK,DISCONTINUED,2025-02-26 05:35:00
PROD00049,Pressure Washer v4,Home & Garden,TrailMax,537.02,994.19,BOX,DISCONTINUED,2025-07-09 09:44:00
PROD00050,Olive Oil 1L v1,Grocery,Voltix,559.86,1293.37,EA,ACTIVE,2025-07-17 00:39:00
PROD00051,Coffee Beans 500g v5,Grocery,UrbanFit,839.52,1111.87,EA,DISCONTINUED,2025-05-03 18:51:00
PROD00052,Protein Bars 12pk v4,Grocery,HomePro,33.24,51.45,EA,DISCONTINUED,2025-05-28 12:07:00
PROD00053,Basmati Rice 5kg v1,Grocery,TrailMax,179.22,316.05,PK,DISCONTINUED,2025-11-26 20:45:00
PROD00054,Almond Milk 1L v3,Grocery,HomePro,707.03,1184.25,BOX,ACTIVE,2025-01-03 21:16:00
PROD00055,Dark Chocolate 200g v4,Grocery,CorePower,279.43,638.0,EA,ACTIVE,2025-11-22 13:02:00
PROD00056,Running Shoes v3,Apparel,UrbanFit,17.91,24.79,BOX,ACTIVE,2025-02-06 05:36:00
PROD00057,Rain Jacket v4,Apparel,HomePro,893.57,1331.6,BOX,DISCONTINUED,2025-10-17 01:51:00
PROD00058,Merino Jumper v4,Apparel,CorePower,839.02,1438.85,EA,DISCONTINUED,2025-11-24 10:33:00
PROD00059,Denim Jeans v2,Apparel,UrbanFit,145.97,215.62,EA,DISCONTINUED,2025-10-24 20:58:00
PROD00060,Hi-Vis Vest v3,Apparel,HomePro,237.17,441.96,EA,ACTIVE,2024-09-01 13:00:00
PROD00061,Work Boots v1,Apparel,UrbanFit,567.49,1085.01,BOX,ACTIVE,2025-06-07 12:01:00
PROD00062,Yoga Mat v4,Sports,CorePower,669.14,907.79,BOX,ACTIVE,2024-11-22 07:41:00
PROD00063,Dumbbell Set 20kg v5,Sports,HomePro,808.53,1258.32,BOX,DISCONTINUED,2025-09-17 08:42:00
PROD00064,Camping Tent 4P v2,Sports,CorePower,50.37,65.46,EA,ACTIVE,2024-10-14 14:59:00
PROD00065,Mountain Bike Helmet v3,Sports,TrailMax,537.92,714.62,EA,ACTIVE,2024-09-27 15:54:00
PROD00066,Esky 40L v4,Sports,Voltix,327.81,723.14,PK,ACTIVE,2025-03-18 02:31:00
PROD00067,4K TV v4,Electronics,DailyFresh,863.46,1115.22,PK,DISCONTINUED,2025-10-06 05:11:00
PROD00068,Bluetooth Speaker v5,Electronics,CorePower,271.68,620.62,BOX,ACTIVE,2024-10-18 10:22:00
PROD00069,Laptop v5,Electronics,Voltix,437.58,847.51,EA,ACTIVE,2025-12-06 03:12:00
PROD00070,Tablet v5,Electronics,UrbanFit,547.08,1008.35,EA,ACTIVE,2025-11-05 11:07:00
PROD00071,Noise-Cancel Headphones v2,Electronics,HomePro,809.12,999.58,EA,ACTIVE,2025-01-03 08:30:00
PROD00072,Smart Watch v5,Electronics,CorePower,182.52,239.17,PK,DISCONTINUED,2025-09-04 15:27:00
PROD00073,Gaming Console v2,Electronics,TrailMax,463.34,-1.0,EA,ACTIVE,2025-08-05 22:17:00
PROD00074,Wireless Router v5,Electronics,TrailMax,865.84,1145.92,EA,ACTIVE,2025-12-20 23:31:00
PROD00075,Cordless Drill v5,Home & Garden,CorePower,392.39,680.95,PK,ACTIVE,2025-07-03 03:38:00
PROD00076,Garden Hose v3,Home & Garden,TrailMax,347.21,499.87,BOX,ACTIVE,2025-04-06 05:56:00
PROD00077,LED Floor Lamp v5,Home & Garden,DailyFresh,34.25,62.12,PK,ACTIVE,2025-03-10 00:07:00
PROD00078,Air Fryer v2,Home & Garden,TrailMax,165.19,262.19,EA,ACTIVE,2024-12-07 21:23:00
PROD00079,Robot Vacuum v1,Home & Garden,Voltix,337.28,720.23,PK,ACTIVE,2025-08-21 10:13:00
PROD00080,Outdoor Heater v2,Home & Garden,UrbanFit,420.98,906.91,EA,DISCONTINUED,2025-01-11 19:13:00
PROD00081,Tool Set v3,Home & Garden,CorePower,476.43,630.56,BOX,ACTIVE,2025-06-08 20:26:00
PROD00082,Pressure Washer v3,Home & Garden,HomePro,615.19,1059.51,EA,ACTIVE,2025-10-03 15:31:00
PROD00083,Olive Oil 1L v1,Grocery,Voltix,45.93,70.24,PK,ACTIVE,2025-06-22 10:37:00
PROD00084,Coffee Beans 500g v3,Grocery,Voltix,347.04,656.49,BOX,ACTIVE,2025-11-28 14:18:00
PROD00085,Protein Bars 12pk v1,Grocery,UrbanFit,121.43,286.6,BOX,ACTIVE,2025-02-07 20:01:00
PROD00086,Basmati Rice 5kg v4,Grocery,CorePower,66.23,87.04,PK,ACTIVE,2025-01-28 11:25:00
PROD00087,Almond Milk 1L v4,Grocery,UrbanFit,75.47,160.72,EA,DISCONTINUED,2025-01-18 22:29:00
PROD00088,Dark Chocolate 200g v1,Grocery,TrailMax,446.03,878.37,BOX,ACTIVE,2024-09-02 07:03:00
PROD00089,Running Shoes v3,Apparel,CorePower,743.61,1016.13,BOX,DISCONTINUED,2024-12-12 05:05:00
PROD00090,Rain Jacket v3,Apparel,UrbanFit,175.28,400.12,EA,ACTIVE,2024-12-29 01:07:00
PROD00091,Merino Jumper v3,Apparel,TrailMax,47.01,73.58,BOX,DISCONTINUED,2025-01-04 22:10:00
PROD00092,Denim Jeans v1,Apparel,HomePro,832.67,1582.19,PK,ACTIVE,2025-09-08 18:56:00
PROD00093,Hi-Vis Vest v4,Apparel,CorePower,765.74,1741.73,EA,ACTIVE,2025-06-10 15:42:00
PROD00094,Work Boots v4,Apparel,HomePro,443.13,680.94,EA,ACTIVE,2025-09-15 09:45:00
PROD00095,Yoga Mat v2,Sports,CorePower,78.18,146.21,BOX,ACTIVE,2025-08-09 02:04:00
PROD00096,Dumbbell Set 20kg v1,Sports,CorePower,874.7,1112.9,EA,DISCONTINUED,2025-10-12 12:12:00
PROD00097,Camping Tent 4P v5,Sports,UrbanFit,440.93,709.25,BOX,ACTIVE,2025-09-12 09:45:00
PROD00098,Mountain Bike Helmet v5,Sports,Voltix,410.8,568.88,EA,ACTIVE,2025-12-01 11:24:00
PROD00099,Esky 40L v5,Sports,HomePro,877.66,1967.21,PK,ACTIVE,2024-09-23 08:27:00
PROD00100,4K TV v5,Electronics,CorePower,151.12,237.04,EA,ACTIVE,2025-04-12 03:47:00
PROD00101,Bluetooth Speaker v4,Electronics,HomePro,102.74,125.33,PK,ACTIVE,2025-04-19 21:33:00
PROD00102,Laptop v5,Electronics,Voltix,409.57,622.01,PK,DISCONTINUED,2024-12-05 04:25:00
PROD00103,Tablet v1,Electronics,DailyFresh,453.96,821.45,PK,ACTIVE,2024-10-08 01:41:00
PROD00104,Noise-Cancel Headphones v2,Electronics,TrailMax,346.74,802.23,EA,DISCONTINUED,2024-11-17 19:17:00
PROD00105,Smart Watch v4,Electronics,Voltix,478.49,857.62,BOX,ACTIVE,2025-07-15 07:07:00
PROD00106,Gaming Console v1,Electronics,UrbanFit,200.74,253.69,PK,ACTIVE,2024-09-21 17:06:00
